Year,Month,TotalPrice,Quantity
2009,12,610346.63,360350
2010,1,415120.502,236118
2010,2,409265.826,234173
2010,3,587165.941,384039
2010,4,500798.551,290254
2010,5,501394.56,326996
2010,6,538672.61,331496
2010,7,502350.0,279812
2010,8,506470.04,313328
2010,9,679069.921,478908
2010,10,875722.88,503353
2010,11,977832.812,552279
2010,12,1270388.84,672188
2011,1,881752.66,555300
2011,2,709236.4,425584
2011,3,931568.38,550770
2011,4,817466.222,519184
2011,5,1100718.7,602226
2011,6,1047551.18,560642
2011,7,969091.182,603104
2011,8,994389.8200000001,620202
2011,9,1589613.384,906840
2011,10,1642440.26,949336
2011,11,1950502.78,1136334
2011,12,942763.64,519942
